Title,Year,Genre,Stars
The Lord of the Rings: The Two Towers,2002,"Adventure, Drama, Fantasy","['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom']"
Shichinin no samurai,1954,"Action, Adventure, Drama","['Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima', 'Yukiko Shimazaki']"
Interstellar,2014,"Adventure, Drama, Sci-Fi","['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy']"
Kimi no na wa.,2016,"Animation, Drama, Fantasy","['Ryûnosuke Kamiki', 'Mone Kamishiraishi', 'Ryô Narita', 'Aoi Yûki']"
The Silence of the Lambs,1991,"Crime, Drama, Thriller","['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney', 'Kasi Lemmons']"
Léon,1994,"Action, Crime, Drama","['Jean Reno', 'Gary Oldman', 'Natalie Portman', 'Danny Aiello']"
Se7en,1995,"Crime, Drama, Mystery","['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']"
Saving Private Ryan,1998,"Drama, War","['Tom Hanks', 'Matt Damon', 'Tom Sizemore', 'Edward Burns']"
The Usual Suspects,1995,"Crime, Mystery, Thriller","['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri', 'Stephen Baldwin']"
Sen to Chihiro no kamikakushi,2001,"Animation, Adventure, Family","['Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino', 'Rumi Hiiragi']"
La vita è bella,1997,"Comedy, Drama, Romance","['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini', 'Giustino Durano']"
The Intouchables,2011,"Biography, Comedy, Drama","['Éric Toledano', 'François Cluzet', 'Omar Sy', 'Anne Le Ny', 'Audrey Fleurot']"
Once Upon a Time in the West,1968,Western,"['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale', 'Jason Robards']"
It's a Wonderful Life,1946,"Drama, Family, Fantasy","['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell']"
City Lights,1931,"Comedy, Drama, Romance","['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee', 'Harry Myers']"
Babam ve Oglum,2005,"Drama, Family","['Çetin Tekindor', 'Fikret Kuskan', 'Hümeyra', 'Ege Tanman']"
Alien,1979,"Horror, Sci-Fi","['Sigourney Weaver', 'Tom Skerritt', 'John Hurt', 'Veronica Cartwright']"
The Prestige,2006,"Drama, Mystery, Sci-Fi","['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson', 'Michael Caine']"
Gladiator,2000,"Action, Adventure, Drama","['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed']"
The Dark Knight Rises,2012,"Action, Adventure","['Christian Bale', 'Tom Hardy', 'Anne Hathaway', 'Gary Oldman']"
Whiplash,2014,"Drama, Music","['Miles Teller', 'J.K. Simmons', 'Melissa Benoist', 'Paul Reiser']"
Memento,2000,"Mystery, Thriller","['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano', 'Mark Boone Junior']"
The Green Mile,1999,"Crime, Drama, Fantasy","['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt']"
Apocalypse Now,1979,"Drama, Mystery, War","['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest']"
Psycho,1960,"Horror, Mystery, Thriller","['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin']"
Raiders of the Lost Ark,1981,"Action, Adventure","['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'John Rhys-Davies']"
Terminator 2: Judgment Day,1991,"Action, Sci-Fi","['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick']"
The Pianist,2002,"Biography, Drama, Music","['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay', 'Emilia Fox']"
The Lives of Others,2006,"Drama, Mystery, Thriller","['Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch', 'Ulrich Tukur']"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy,"['Peter Sellers', 'George C. Scott', 'Sterling Hayden', 'Keenan Wynn']"
American History X,1998,Drama,"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Jennifer Lien']"
Back to the Future,1985,"Adventure, Comedy, Sci-Fi","['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover']"
Casino,1995,"Crime, Drama","['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods']"
Die Hard,1988,"Action, Thriller","['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia', 'Reginald VelJohnson']"
The Elephant Man,1980,"Biography, Drama","['Anthony Hopkins', 'John Hurt', 'Anne Bancroft', 'John Gielgud']"
Finding Nemo,2003,"Animation, Adventure, Comedy","['Lee Unkrich', 'Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe']"
Gran Torino,2008,Drama,"['Clint Eastwood', 'Bee Vang', 'Christopher Carley', 'Ahney Her']"
Harry Potter and the Sorcerer's Stone,2001,"Adventure, Family, Fantasy","['Daniel Radcliffe', 'Rupert Grint', 'Richard Harris', 'Maggie Smith']"
Indiana Jones and the Temple of Doom,1984,"Action, Adventure","['Harrison Ford', 'Kate Capshaw', 'Ke Huy Quan', 'Amrish Puri']"
Jurassic Park,1993,"Action, Adventure, Sci-Fi","['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough']"
Kill Bill: Vol. 1,2003,"Action, Crime, Thriller","['Uma Thurman', 'David Carradine', 'Daryl Hannah', 'Michael Madsen']"
Logan,2017,"Action, Drama, Sci-Fi","['Hugh Jackman', 'Patrick Stewart', 'Dafne Keen', 'Boyd Holbrook']"
"Monsters, Inc.",2001,"Animation, Adventure, Comedy","['David Silverman', 'Lee Unkrich', 'Billy Crystal', 'John Goodman', 'Mary Gibbs', 'Steve Buscemi']"
Night of the Living Dead,1968,Horror,"['Duane Jones', ""Judith O'Dea"", 'Karl Hardman', 'Marilyn Eastman']"
Ocean's Eleven,2001,"Crime, Thriller","['George Clooney', 'Brad Pitt', 'Julia Roberts', 'Matt Damon']"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action, Adventure, Fantasy","['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley']"
Quantum of Solace,2008,"Action, Adventure, Thriller","['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric', 'Judi Dench']"
Rocky,1976,"Drama, Sport","['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers']"
Shrek,2001,"Animation, Adventure, Comedy","['Vicky Jenson', 'Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'John Lithgow']"
Taken,2008,"Action, Thriller","['Liam Neeson', 'Maggie Grace', 'Famke Janssen', 'Leland Orser']"
Up,2009,"Animation, Adventure, Comedy","['Bob Peterson', 'Edward Asner', 'Jordan Nagai', 'John Ratzenberger', 'Christopher Plummer']"
V for Vendetta,2005,"Action, Drama, Sci-Fi","['Hugo Weaving', 'Natalie Portman', 'Rupert Graves', 'Stephen Rea']"
WALL·E,2008,"Animation, Adventure, Family","['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard']"
X-Men,2000,"Action, Adventure, Sci-Fi","['Patrick Stewart', 'Hugh Jackman', 'Ian McKellen', 'Famke Janssen']"
Young Frankenstein,1974,Comedy,"['Gene Wilder', 'Madeline Kahn', 'Marty Feldman', 'Peter Boyle']"
Zulu,1964,"Drama, History, War","['Stanley Baker', 'Jack Hawkins', 'Ulla Jacobsson', 'James Booth']"
Casablanca,1942,"Drama, Romance, War","['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains']"
Rear Window,1954,"Mystery, Thriller","['James Stewart', 'Grace Kelly', 'Wendell Corey', 'Thelma Ritter']"
Sunset Blvd.,1950,"Drama, Film-Noir","['William Holden', 'Gloria Swanson', 'Erich von Stroheim', 'Nancy Olson']"
Hotaru no haka,1988,"Animation, Drama, War","['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Akemi Yamaguchi', 'Yoshiko Shinohara']"
Nuovo Cinema Paradiso,1988,Drama,"['Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili', 'Isa Danieli']"
The Great Dictator,1940,"Comedy, Drama, War","['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie', 'Reginald Gardiner']"
Modern Times,1936,"Comedy, Drama, Family","['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman', 'Tiny Sandford']"
Paths of Glory,1957,"Drama, War","['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou', 'George Macready']"
Taare Zameen Par,2007,"Drama, Family","['Amole Gupte', 'Darsheel Safary', 'Aamir Khan', 'Tisca Chopra', 'Vipin Sharma']"
Aliens,1986,"Action, Adventure, Sci-Fi","['Sigourney Weaver', 'Michael Biehn', 'Carrie Henn', 'Paul Reiser']"
Django Unchained,2012,"Drama, Western","['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio', 'Kerry Washington']"
American Beauty,1999,Drama,"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley']"
The Shining,1980,"Drama, Horror","['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd', 'Scatman Crothers']"
Requiem for a Dream,2000,Drama,"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly', 'Marlon Wayans']"
Braveheart,1995,"Biography, Drama, History","['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen']"
Oldeuboi,2003,"Action, Drama, Mystery","['Min-sik Choi', 'Ji-Tae Yoo', 'Hye-jeong Kang', 'Dae-han Ji']"
Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']"
North by Northwest,1959,"Adventure, Mystery, Thriller","['Cary Grant', 'Eva Marie Saint', 'James Mason', 'Jessie Royce Landis']"
Amélie,2001,"Comedy, Romance","['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus', 'Lorella Cravotta']"
Once Upon a Time in America,1984,"Crime, Drama","['Robert De Niro', 'James Woods', 'Elizabeth McGovern', 'Treat Williams']"
3 Idiots,2009,"Comedy, Drama","['Aamir Khan', 'Madhavan', 'Mona Singh', 'Sharman Joshi']"
Mononoke-hime,1997,"Animation, Adventure, Fantasy","['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka', 'Billy Crudup']"
Vertigo,1958,"Mystery, Romance, Thriller","['James Stewart', 'Kim Novak', 'Barbara Bel Geddes', 'Tom Helmore']"
Citizen Kane,1941,"Drama, Mystery","['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore', 'Agnes Moorehead']"
The Counselor,2013,"Crime, Drama, Thriller","['Michael Fassbender', 'Penélope Cruz', 'Cameron Diaz', 'Javier Bardem']"
Bad Words,2013,"Comedy, Drama","['Jason Bateman', 'Kathryn Hahn', 'Allison Janney', 'Rohan Chand']"
The Neon Demon,2016,"Horror, Thriller","['Elle Fanning', 'Christina Hendricks', 'Keanu Reeves', 'Karl Glusman']"
Cloud Atlas,2012,"Action, Drama, Mystery","['Lana Wachowski', 'Lilly Wachowski', 'Tom Hanks', 'Halle Berry', 'Hugh Grant', 'Hugo Weaving']"
Popstar: Never Stop Never Stopping,2016,"Comedy, Music","['Jorma Taccone', 'Andy Samberg', 'Jorma Taccone', 'Akiva Schaffer', 'Sarah Silverman']"
Source Code,2011,"Action, Drama, Mystery","['Jake Gyllenhaal', 'Michelle Monaghan', 'Vera Farmiga', 'Jeffrey Wright']"
Super,2010,"Action, Comedy, Drama","['Rainn Wilson', 'Ellen Page', 'Liv Tyler', 'Kevin Bacon']"
Everybody Wants Some!!,2016,Comedy,"['Blake Jenner', 'Tyler Hoechlin', 'Ryan Guzman', 'Zoey Deutch']"
Enemy,2013,"Drama, Mystery, Thriller","['Jake Gyllenhaal', 'Mélanie Laurent', 'Sarah Gadon', 'Isabella Rossellini']"
The Guest,2014,"Action, Comedy, Crime","['Dan Stevens', 'Sheila Kelley', 'Maika Monroe', 'Joel David Moore']"
Mississippi Grind,2015,"Comedy, Drama","['Ryan Fleck', 'Ben Mendelsohn', 'Ryan Reynolds', 'Yvonne Landry', 'Anthony Howard']"
The Beguiled,2017,"Drama, Thriller","['Nicole Kidman', 'Kirsten Dunst', 'Elle Fanning', 'Colin Farrell']"
Noah,2014,"Action, Adventure, Drama","['Russell Crowe', 'Jennifer Connelly', 'Anthony Hopkins', 'Emma Watson']"
The Grey,2011,"Action, Adventure, Drama","['Liam Neeson', 'Dermot Mulroney', 'Frank Grillo', 'Dallas Roberts']"
The Place Beyond the Pines,2012,"Crime, Drama, Thriller","['Ryan Gosling', 'Bradley Cooper', 'Eva Mendes', 'Craig Van Hook']"
Killer Joe,2011,"Crime, Drama, Thriller","['Matthew McConaughey', 'Emile Hirsch', 'Juno Temple', 'Thomas Haden Church']"
Swiss Army Man,2016,"Comedy, Drama, Fantasy","['Daniel Scheinert', 'Paul Dano', 'Daniel Radcliffe', 'Mary Elizabeth Winstead', 'Antonia Ribero']"
Macbeth,2015,"Drama, History, War","['Michael Fassbender', 'Marion Cotillard', 'Jack Madigan', 'Frank Madigan']"
Super 8,2011,"Action, Mystery, Sci-Fi","['Elle Fanning', 'AJ Michalka', 'Kyle Chandler', 'Joel Courtney']"
The Drop,2014,"Crime, Drama, Thriller","['Tom Hardy', 'Noomi Rapace', 'James Gandolfini', 'Matthias Schoenaerts']"
Dope,2015,"Comedy, Crime, Drama","['Shameik Moore', 'Tony Revolori', 'Kiersey Clemons', 'Kimberly Elise']"
Killing Them Softly,2012,"Crime, Drama, Thriller","['Brad Pitt', 'Ray Liotta', 'Richard Jenkins', 'Scoot McNairy']"
Under the Silver Lake,2018,"Crime, Drama, Mystery","['Andrew Garfield', 'Riley Keough', 'Topher Grace', 'Callie Hernandez']"
Cyrus,2010,"Comedy, Drama, Romance","['Mark Duplass', 'John C. Reilly', 'Marisa Tomei', 'Jonah Hill', 'Catherine Keener']"
The Killing of a Sacred Deer,2017,"Drama, Horror, Mystery","['Barry G. Bernson', 'Herb Caillouet', 'Bill Camp', 'Raffey Cassidy']"
Brigsby Bear,2017,"Comedy, Drama","['Kyle Mooney', 'Mark Hamill', 'Jorge Lendeborg Jr.', 'Matt Walsh']"
Joe,2013,"Crime, Drama","['Nicolas Cage', 'Tye Sheridan', 'Gary Poulter', 'Ronnie Gene Blevins']"
Suspiria,2018,"Fantasy, Horror, Mystery","['Chloë Grace Moretz', 'Tilda Swinton', 'Doris Hick', 'Malgorzata Bela']"
Unsane,2018,"Drama, Horror, Mystery","['Claire Foy', 'Joshua Leonard', 'Jay Pharoah', 'Juno Temple']"
Prometheus,2012,"Adventure, Mystery, Sci-Fi","['Noomi Rapace', 'Logan Marshall-Green', 'Michael Fassbender', 'Charlize Theron']"
