Title,Year,Genre,Stars,Rating,Duration
Cobra Kai,2018,"Action, Comedy, Drama","['Ralph Macchio', 'William Zabka', 'Courtney Henggeler']",8.4,60
Party Down,2009,Comedy,"['Ken Marino', 'Ryan Hansen', 'Martin Starr']",7.8,30
Slings and Arrows,2003,Comedy,"['Martha Burns', 'Stephen Ouimette', 'Susan Coyne']",8.2,30
Episodes,2011,Comedy,"['Stephen Mangan', 'Tamsin Greig', 'John Pankow']",7.1,21
The Kominsky Method,2018,Comedy,"['Alan Arkin', 'Sarah Baker', 'Nancy Travis']",8.3,30
The Grinder,2015,Comedy,"['Fred Savage', 'Mary Elizabeth Ellis', 'Hana Hayes']",8.1,22
Car Share,2015,Comedy,"['Sian Gibson', 'Danny Swarsbrick', 'Guy Garvey']",7.8,30
Galavant,2015,"Adventure, Comedy, Fantasy","['Timothy Omundson', 'Vinnie Jones', 'Mallory Jansen']",7.8,26
W1A,2014,Comedy,"['Monica Dolan', 'Jessica Hynes', 'Sarah Parish']",7.4,22
Au service de la France,2015,Comedy,"['Wilfred Benaïche', 'Christophe Kourotchkine', 'Karim Barras']",7.8,29
Hello Ladies,2013,Comedy,"['Christine Woods', 'Nate Torrence', 'Kevin Weisman']",8.4,30
Ghosts,2019,"Comedy, Fantasy","['Jim Howick', 'Charlotte Ritchie', 'Kiell Smith-Bynoe']",8.8,30
The Mick,2017,Comedy,"[""Sofia Black-D'Elia"", 'Thomas Barbusca', 'Carla Jimenez']",8.9,47
The Larry Sanders Show,1992,Comedy,"['Jeffrey Tambor', 'Wallace Langham', 'Rip Torn']",8.7,467
One Strange Rock,2018,Documentary,"['Chris Hadfield', 'Jerry Linenger', 'Mae C. Jemison']",8.2,279
O.J.: Made in America,2016,"Documentary, Biography, Crime","['Kareem Abdul-Jabbar', 'Mike Albanese', 'Muhammad Ali', 'Marcus Allen']",8.1,403
The Jinx: The Life and Deaths of Robert Durst,2015,"Documentary, Crime","['Andrew Jarecki', 'Gary Napoli', 'Debra Kay Anderson']",7.9,60
Wild Wild Country,2018,"Documentary, Crime","['Osho', 'Philip Toelkes', 'Jane Stork']",7.4,629
Dirty Money,2018,"Documentary, Crime","['Alex Gibney', 'Anabel Hernández', 'Fahmi Quadir']",8.1,202
Soupçons,2004,"Documentary, Crime, Drama","['David Rudolf', 'Ron Guerette', 'Tom Maher']",8.2,187
Revolution,2012,"Action, Adventure, Drama","['Tracy Spiridakos', 'Giancarlo Esposito', 'Zak Orth']",6.7,43
That '70s Show,1998,"Comedy, Romance","['Laura Prepon', 'Mila Kunis', 'Danny Masterson']",8.1,22
The OA,2016,"Drama, Fantasy, Mystery","['Jason Isaacs', 'Scott Wilson', 'Alice Krige']",7.9,60
The 100,2014,"Drama, Mystery, Sci-Fi","['Bob Morley', 'Marie Avgeropoulos', 'Isaiah Washington']",7.7,43
Ghost Adventures,2008,"Documentary, History, Reality-TV","['Aaron Goodwin', 'Billy Tolley', 'Jay Wasley']",7.5,45
Bates Motel,2013,"Drama, Horror, Mystery","['Freddie Highmore', 'Max Thieriot', 'Nicola Peltz']",8.2,45
Spartacus: Blood and Sand,2010,"Action, Adventure, Biography","['Lucy Lawless', 'Manu Bennett', 'Daniel Feuerriegel']",8.5,55
This Is Us,2016,"Comedy, Drama, Romance","['Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']",8.7,45
Burn Notice,2007,"Action, Crime, Drama","['Gabrielle Anwar', 'Bruce Campbell', 'Sharon Gless']",7.9,44
Black Sails,2014,"Adventure, Drama","['Toby Stephens', 'Hannah New', 'Zach McGowan']",8.2,56
The Last Kingdom,2015,"Action, Drama, History","['Eliza Butterworth', 'Ian Hart', 'David Dawson']",8.3,60
Into the Badlands,2015,"Action, Adventure, Drama","['Orla Brady', 'Emily Beecham', 'Aramis Knight']",7.7,42
Limitless,2015,"Comedy, Crime, Drama","['Jennifer Carpenter', 'Hill Harper', 'Mary Elizabeth Mastrantonio']",6.5,42
Camelot,2011,"Drama, Fantasy, History","['Jamie Campbell Bower', 'Tamsin Egerton', 'Peter Mooney']",7.2,45
Containment,2016,Drama,"['Christina Moses', 'Chris Wood', 'Claudia Black']",7.2,60
The Shannara Chronicles,2016,"Adventure, Fantasy, Sci-Fi","['Ivana Baquero', 'Manu Bennett', 'Aaron Jakubenko']",7.5,42
Hannibal,2013,"Crime, Drama, Horror","['Mads Mikkelsen', 'Caroline Dhavernas', 'Laurence Fishburne']",8.5,44
Banshee,2013,"Action, Crime, Drama","['Ivana Milicevic', 'Ulrich Thomsen', 'Frankie Faison']",8.4,60
Kingdom,2014,Drama,"['Kiele Sanchez', 'Matt Lauria', 'Jonathan Tucker']",8.4,43
Luther,2010,"Crime, Drama, Mystery","['Dermot Crowley', 'Michael Smiley', 'Warren Brown']",8.5,60
Bates Motel,2013,"Drama, Horror, Mystery","['Freddie Highmore', 'Max Thieriot', 'Nicola Peltz']",8.2,45
Harper's Island,2009,"Drama, Horror, Mystery","['Christopher Gorham', 'Matt Barr', 'Gina Holden']",7.5,40
Penny Dreadful,2014,"Drama, Fantasy, Horror","['Timothy Dalton', 'Eva Green', 'Reeve Carney']",8.2,60
Fargo,2014,"Crime, Drama, Thriller","['Martin Freeman', 'Allison Tolman', 'Colin Hanks']",8.9,53
The Last Ship,2014,"Action, Drama, Sci-Fi","['Adam Baldwin', 'Charles Parnell', 'Travis Van Winkle']",7.5,60
Constantine,2014,"Drama, Fantasy, Horror","['Harold Perrineau', 'Charles Halford', 'Angélica Celaya']",7.5,43
Humans,2015,"Drama, Sci-Fi","['Gemma Chan', 'Lucy Carless', 'Tom Goodman-Hill']",7.2,42
Killjoys,2015,"Action, Adventure, Sci-Fi","['Aaron Ashmore', 'Luke Macfarlane', 'Tamsen McDonough']",7.9,42
Agent Carter,2015,"Action, Adventure, Sci-Fi","[""James D'Arcy"", 'Enver Gjokaj', 'Chad Michael Murray']",7.4,42
Wayward Pines,2015,"Drama, Mystery, Sci-Fi","['Toby Jones', 'Shannyn Sossamon', 'Hope Davis']",8.8,60
Marco Polo,2014,"Adventure, Drama, History","['Benedict Wong', 'Joan Chen', 'Remy Hii']",8.3,60
Peaky Blinders,2013,"Crime, Drama","['Paul Anderson', 'Helen McCrory', 'Sophie Rundle']",7.5,60
Orphan Black,2013,"Action, Drama, Sci-Fi","['Dylan Bruce', 'Jordan Gavaris', 'Kevin Hanchard']",8.3,44
Dark Matter,2015,"Adventure, Drama, Mystery","['Anthony Lemke', 'Alex Mallari Jr.', 'Jodelle Ferland']",7.2,42
Into the Badlands,2015,"Action, Adventure, Drama","['Orla Brady', 'Emily Beecham', 'Aramis Knight']",8.1,42
The Last Kingdom,2015,"Action, Drama, History","['Eliza Butterworth', 'Ian Hart', 'David Dawson']",7.7,60
The Shannara Chronicles,2016,"Adventure, Fantasy, Sci-Fi","['Ivana Baquero', 'Manu Bennett', 'Aaron Jakubenko']",8.2,42
The Night Manager,2016,"Crime, Drama, Mystery","['Tom Hiddleston', 'Elizabeth Debicki', 'Olivia Colman']",8.5,358
Limitless,2015,"Comedy, Crime, Drama","['Jennifer Carpenter', 'Hill Harper', 'Mary Elizabeth Mastrantonio']",8.5,42
Skins,2007,Drama,"['Nicholas Hoult', 'Joe Dempsie', 'Hannah Murray']",8.7,46
The Night Of,2016,"Crime, Drama, Mystery","['John Turturro', 'Bill Camp', 'Amara Karan']",7.3,525
The Expanse,2015,"Drama, Mystery, Sci-Fi","['Cas Anvar', 'Dominique Tipper', 'Wes Chatham']",8.2,60
Utopia,2013,"Drama, Mystery, Sci-Fi","['Paul Higgins', 'Neil Maskell', ""Fiona O'Shaughnessy""]",8.4,50
The Thick of It,2005,Comedy,"['James Smith', 'Peter Capaldi', 'Joanna Scanlan']",8.7,29
Luther,2010,"Crime, Drama, Mystery","['Dermot Crowley', 'Michael Smiley', 'Warren Brown']",8.5,60
Inside No. 9,2014,"Comedy, Drama, Horror","['Steve Pemberton', 'Rosie Cavaliero', 'Aimee-Ffion Edwards']",8.5,30
Dirk Gently's Holistic Detective Agency,2016,"Action, Adventure, Comedy","['Elijah Wood', 'Hannah Marks', 'Jade Eshete']",8.3,60
The Leftovers,2014,"Drama, Fantasy, Mystery","['Amy Brenneman', 'Christopher Eccleston', 'Liv Tyler']",8.3,60
Spaced,1999,"Action, Comedy","['Simon Pegg', 'Julia Deakin', 'Nick Frost']",8.6,25
Brass Eye,1997,Comedy,"['Mark Heap', 'Kevin Eldon', 'Doon Mackichan']",8.6,25
Atlanta,2016,"Comedy, Drama, Music","['Brian Tyree Henry', 'LaKeith Stanfield', 'Zazie Beetz']",8.6,30
Peep Show,2003,Comedy,"['Robert Webb', 'Matt King', 'Olivia Colman']",8.6,25
The League of Gentlemen,1999,"Comedy, Horror","['Steve Pemberton', 'Reece Shearsmith', 'Jeremy Dyson']",8.4,60
Life on Mars,2006,"Crime, Drama, Mystery","['Philip Glenister', 'Liz White', 'Dean Andrews']",8.3,60
Lilyhammer,2012,"Comedy, Crime, Drama","['Trond Fausa', 'Steinar Sagen', 'Marian Saastad Ottesen']",8.1,45
Ashes to Ashes,2008,"Crime, Drama, Fantasy","['Keeley Hawes', 'Dean Andrews', 'Marshall Lancaster']",8.3,60
The Mighty Boosh,2003,"Comedy, Fantasy, Musical","['Noel Fielding', 'Michael Fielding', 'Rich Fulcher']",8.3,30
Patriot,2015,"Comedy, Drama, Thriller","['Kurtwood Smith', 'Michael Chernus', 'Kathleen Munroe']",8.4,58
Jam,2000,Comedy,"['Amelia Bullmore', 'David Cann', 'Julia Davis']",8.6,24
The Day Today,1994,Comedy,"['Steve Coogan', 'Patrick Marber', 'Rebecca Front']",8.6,30
Father Ted,1995,Comedy,"[""Ardal O'Hanlon"", 'Frank Kelly', 'Pauline McLynn']",8.5,25
I'm Alan Partridge,1997,Comedy,"['Simon Greenall', 'Felicity Montagu', 'Phil Cornwell']",8.5,29
Garth Marenghi's Darkplace,2004,"Comedy, Fantasy, Horror","['Matt Berry', 'Matthew Holness', 'Alice Lowe']",7.1,30
Bruiser,2000,Comedy,"['Matthew Holness', 'Charlotte Hudson', 'Martin Freeman']",7.8,29
PhoneShop,2009,Comedy,"['Tom Bennett', 'Andrew Brooke', 'Javone Prince']",8.2,30
Happy!,2017,"Action, Comedy, Crime","['Ritchie Coster', 'Lili Mirojnick', 'Patton Oswalt']",8.3,60
Barry,2018,"Action, Comedy, Crime","['Stephen Root', 'Sarah Goldberg', 'Anthony Carrigan']",8.3,30
The Armando Iannucci Shows,2001,Comedy,"['Hugh Cecil', 'Karen Ascoe', 'Melanie Hudson']",8.4,26
Monkey Dust,2003,"Animation, Comedy, Horror","['Morwenna Banks', 'Frances Barber', 'Rebecca Front']",7.7,29
Xavier: Renegade Angel,2007,"Animation, Adventure, Comedy","['John Lee', 'Alyson Levy', 'Jim Tozzi']",8.8,12
Nathan for You,2013,"Documentary, Comedy","['Anthony Filosa', 'William Heath', 'Brian S. Wolfe']",8.4,30
The Booth at the End,2011,"Drama, Mystery","['Jennifer Del Rosario', 'Jenni Blong', 'Michelle Dunker']",8.4,30
In Treatment,2008,Drama,"['Dianne Wiest', 'Michelle Forbes', 'Blair Underwood']",8.3,25
Rectify,2013,Drama,"['Abigail Spencer', 'J. Smith-Cameron', 'Adelaide Clemens']",8.3,60
Happy Valley,2014,"Crime, Drama","['Siobhan Finneran', 'Shane Zaza', 'Charlie Murphy']",8.4,58
Being Human,2008,"Comedy, Drama, Fantasy","['Russell Tovey', 'Aidan Turner', 'Sinead Keenan']",7.8,60
Misfits,2009,"Comedy, Drama, Fantasy","['Joseph Gilgun', 'Iwan Rheon', 'Lauren Socha']",8.2,60
Terriers,2010,"Comedy, Crime, Drama","['Michael Raymond-James', 'Laura Allen', 'Kimberly Quinn']",8.4,45
Justified,2010,"Action, Crime, Drama","['Nick Searcy', 'Joelle Carter', 'Jacob Pitts']",8.6,44
Longmire,2012,"Action, Crime, Drama","['Katee Sackhoff', 'Lou Diamond Phillips', 'Cassidy Freeman']",8.3,60
Burn Notice,2007,"Action, Crime, Drama","['Gabrielle Anwar', 'Bruce Campbell', 'Sharon Gless']",7.9,44
Banshee,2013,"Action, Crime, Drama","['Ivana Milicevic', 'Ulrich Thomsen', 'Frankie Faison']",8.4,60
The Knick,2014,"Drama, History","['André Holland', 'Jeremy Bobb', 'Juliet Rylance']",8.5,58
Southland,2009,"Crime, Drama, Thriller","['Shawn Hatosy', 'Regina King', 'Ben McKenzie']",8.4,42
The Lost Room,2006,"Action, Fantasy, Mystery","['Julianna Margulies', 'Peter Jacobson', 'Dennis Christopher']",8.2,270
Vikings,2013,"Action, Adventure, Drama","['Gustaf Skarsgård', 'Alexander Ludwig', 'Georgia Hirst']",8.6,44
Masters of Sex,2013,"Drama, Romance","['Lizzy Caplan', 'Caitlin FitzGerald', 'Teddy Sears']",7.9,60
Bored to Death,2009,"Comedy, Crime, Drama","['Zach Galifianakis', 'Ted Danson', 'Heather Burns']",7.9,28
The Kill Point,2007,"Action, Crime, Drama","['Donnie Wahlberg', 'Michael Hyatt', 'John Leguizamo']",7.4,45
The Yard,2011,Comedy,"['Devan Cohen', 'Daniel Lupetina', 'Alex Cardillo']",6.9,25
The Riches,2007,"Comedy, Crime, Drama","['Minnie Driver', 'Shannon Woodward', 'Noel Fisher']",7.8,30
BoJack Horseman,2014,"Animation, Comedy, Drama","['Amy Sedaris', 'Alison Brie', 'Aaron Paul']",8.7,30
Togetherness,2015,"Comedy, Drama, Romance","['Melanie Lynskey', 'Amanda Peet', 'Steve Zissis']",7.5,30
Review,2014,Comedy,"['Jessica St. Clair', 'Megan Stevenson', 'Michael Croner']",8.3,45
Adam Ruins Everything,2015,"Animation, Comedy, History","['Adam Lustick', 'Emily Axford', 'Amos Vernon']",8.6,42
Wentworth,2013,"Crime, Drama","['Robbie Magasiva', 'Katrina Milosevic', 'Jacqueline Brennan']",7.8,60
UnREAL,2015,Drama,"['Craig Bierko', 'Jeffrey Bowyer-Chapman', 'Brennan Elliott']",8.4,56
Top Boy,2011,"Crime, Drama, Thriller","['Kane Robinson', 'Shone Romulus', 'Micheal Ward']",7.8,22
In the Flesh,2013,"Drama, Horror","['Harriet Cains', 'Marie Critchley', 'Steve Cooper']",7.2,50
Death Valley,2011,"Comedy, Horror","['Bryce Johnson', 'Tania Raymonde', 'Charlie Sanders']",8.3,60
The Wire,2002,"Crime, Drama, Thriller","['Lance Reddick', 'Sonja Sohn', 'Wendell Pierce']",9.3,59
Mr. Robot,2015,"Crime, Drama, Thriller","['Christian Slater', 'Carly Chaikin', 'Martin Wallström']",8.5,49
Black Mirror,2011,"Drama, Sci-Fi, Thriller","['Hannah John-Kamen', 'Michaela Coel', 'Beatrice Robertson-Jones']",8.8,60
Show Me a Hero,2015,"Drama, History","['Carla Quevedo', 'Peter Riegert', 'Natalie Paul']",8.1,60
Southland,2009,"Crime, Drama, Thriller","['Shawn Hatosy', 'Regina King', 'Ben McKenzie']",8.4,42
The Wonder Years,1988,"Comedy, Drama, Family","['Dan Lauria', 'Daniel Stern', 'Alley Mills']",8.3,22
Crime Story,1986,"Crime, Drama, Mystery","['Bill Smitrovich', 'Steve Ryan', 'Billy Campbell']",8.4,60
Northern Exposure,1990,"Comedy, Drama","['Janine Turner', 'Barry Corbin', 'John Cullum']",8.2,60
American Gods,2017,"Drama, Fantasy, Mystery","['Emily Browning', 'Crispin Glover', 'Yetide Badaki']",7.9,60
The Sopranos,1999,"Crime, Drama","['Lorraine Bracco', 'Edie Falco', 'Michael Imperioli']",9.2,55
Quantum Leap,1989,"Action, Adventure, Drama","['Dean Stockwell', 'Deborah Pratt', 'Dennis Wolfberg']",8.1,60
Into the Badlands,2015,"Action, Adventure, Drama","['Orla Brady', 'Emily Beecham', 'Aramis Knight']",8.5,42
Boardwalk Empire,2010,"Crime, Drama, History","['Kelly Macdonald', 'Michael Shannon', 'Shea Whigham']",8.1,55
Hill Street Blues,1981,"Crime, Drama, Mystery","['Michael Warren', 'Bruce Weitz', 'James Sikking']",8.5,60
I'll Fly Away,1991,Drama,"['Regina Taylor', 'Jeremy London', 'Ashlee Levitch']",7.8,60
New York Undercover,1994,"Crime, Drama","['Michael DeLorenzo', ""Patti D'Arbanville"", 'Luna Lauren Velez']",8.5,60
Homicide: Life on the Street,1993,"Crime, Drama, Mystery","['Clark Johnson', 'Yaphet Kotto', 'Kyle Secor']",7.7,60
Nikita,2010,"Action, Crime, Drama","['Shane West', 'Lyndsy Fonseca', 'Aaron Stanford']",7.4,60
Martin,1992,"Comedy, Drama, Romance","['Tisha Campbell-Martin', 'Thomas Mikal Ford', 'Carl Anthony Payne II']",8.1,30
The Exorcist,2016,"Drama, Horror, Mystery","['Ben Daniels', 'Kurt Egyiawan', 'Hannah Kasulka']",8.8,45
Narcos,2015,"Biography, Crime, Drama","['Wagner Moura', 'Boyd Holbrook', 'Alberto Ammann']",7.8,49
Preacher,2016,"Adventure, Drama, Fantasy","['Joseph Gilgun', 'Ruth Negga', 'Ian Colletti']",7.9,60
Fresh Off the Boat,2015,Comedy,"['Constance Wu', 'Hudson Yang', 'Forrest Wheeler']",8.4,22
The Making of the Mob,2015,"Documentary, Crime, History","['Craig Thomas Rivela', 'Rich Graff', 'John Binder']",8.5,343
The Americans,2013,"Crime, Drama, Mystery","['Matthew Rhys', 'Keidrich Sellati', 'Holly Taylor']",8.1,44
The Night Of,2016,"Crime, Drama, Mystery","['John Turturro', 'Bill Camp', 'Amara Karan']",8.6,525
The Night Manager,2016,"Crime, Drama, Mystery","['Tom Hiddleston', 'Elizabeth Debicki', 'Olivia Colman']",8.2,358
Mindhunter,2017,"Crime, Drama, Thriller","['Holt McCallany', 'Anna Torv', 'Hannah Gross']",7.7,60
Seven Seconds,2018,"Crime, Drama","['Michael Mosley', 'David Lyons', 'Russell Hornsby']",8.3,60
Atlanta,2016,"Comedy, Drama, Music","['Brian Tyree Henry', 'LaKeith Stanfield', 'Zazie Beetz']",7.9,30
Master of None,2015,Comedy,"['Eric Wareheim', 'Lena Waithe', 'Noël Wells']",8.4,30
Red Oaks,2014,"Comedy, Drama, Sport","['Ennis Esmer', 'Oliver Cooper', 'Richard Kind']",8.4,30
Broad City,2014,Comedy,"['Abbi Jacobson', 'Hannibal Buress', 'Arturo Castro']",7.8,22
Marco Polo,2014,"Adventure, Drama, History","['Benedict Wong', 'Joan Chen', 'Remy Hii']",7.8,60
Entourage,2004,"Comedy, Drama","['Adrian Grenier', 'Kevin Dillon', 'Jerry Ferrara']",8.7,28
Gotham,2014,"Action, Crime, Drama","['Jada Pinkett Smith', 'Donal Logue', 'Camren Bicondova']",8.6,42
St. Elsewhere,1982,"Comedy, Drama","['Howie Mandel', 'David Morse', 'Christina Pickles']",8.4,60
This Is Us,2016,"Comedy, Drama, Romance","['Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']",8.2,45
Sons of Anarchy,2008,"Crime, Drama, Thriller","['Katey Sagal', 'Mark Boone Junior', 'Kim Coates']",8.2,45
Top Boy,2011,"Crime, Drama, Thriller","['Kane Robinson', 'Shone Romulus', 'Micheal Ward']",7.8,60
Treme,2010,"Drama, Music","['Rob Brown', 'Kim Dickens', 'Melissa Leo']",8.1,59
Celia,2015,"Biography, Drama, Music","['Frank Gerrish', 'Amanda Peter', 'Wayra Schreiber']",7.7,53
The Twilight Zone,1985,"Drama, Fantasy, Horror","['Charles Aidman', 'Richard Mulligan', 'William Atherton']",7.7,45
Boss,2011,"Crime, Drama","['Connie Nielsen', 'Hannah Ware', 'Jeff Hephner']",7.9,56
Shaka Zulu,1986,"Action, Biography, Drama","['Robert Powell', 'Trevor Howard', 'Fiona Fullerton']",8.2,300
The Outer Limits,1995,"Drama, Fantasy, Horror","['Alex Diakun', 'Eric Schneider', 'Garvin Cross']",8.3,44
The White Shadow,1978,"Drama, Sport","['Kevin Hooks', 'Byron Stewart', 'Timothy Van Patten']",8.1,60
True Blood,2008,"Drama, Fantasy, Mystery","['Stephen Moyer', 'Sam Trammell', 'Ryan Kwanten']",8.7,55
The Walking Dead,2010,"Drama, Horror, Thriller","['Norman Reedus', 'Melissa McBride', 'Danai Gurira']",8.1,44
Tour of Duty,1987,"Action, Drama, War","['Stephen Caffrey', 'Tony Becker', 'Miguel A. Núñez Jr.']",8.3,47
Quarry,2016,"Crime, Drama, Thriller","['Jodi Balfour', 'Damon Herriman', 'Edoardo Ballerini']",7.8,60
The Haunting of Hill House,2018,"Drama, Horror, Mystery","['Oliver Jackson-Cohen', 'Kate Siegel', 'Victoria Pedretti']",7.6,50
The Goldbergs,2013,Comedy,"['Sean Giambrone', 'Troy Gentile', 'Hayley Orrantia']",8.4,22
Hell on Wheels,2011,"Drama, Western","['Colm Meaney', 'Robin McLeavy', 'Phil Burke']",7.3,42
Tales from the Crypt,1989,"Comedy, Crime, Fantasy","['Roy Brocksmith', 'Miguel Ferrer', 'Cam Clarke']",8.8,25
Condor,2018,"Action, Drama, Thriller","['Kristen Hager', 'Bob Balaban', 'Gage Graham-Arbuthnot']",7.8,60
Carlos,2010,"Biography, Crime, Drama","['Alexander Scheer', 'Fadi Abi Samra', 'Lamia Ahmed']",8.2,334
Strangers with Candy,1999,Comedy,"['Paul Dinello', 'Stephen Colbert', 'Greg Hollimon']",8.6,22
American Crime Story,2016,"Biography, Crime, Drama","['Annaleigh Ashford', 'Sterling K. Brown', 'Kenneth Choi']",7.9,42
Luke Cage,2016,"Action, Crime, Drama","['Simone Missick', 'Theo Rossi', 'Alfre Woodard']",8.4,55
Peaky Blinders,2013,"Crime, Drama","['Paul Anderson', 'Helen McCrory', 'Sophie Rundle']",8.6,60
Jaianto robo,1967,"Action, Adventure, Sci-Fi","['Toshiyuki Tsuchiyama', 'Kôichi Chiba', 'Akio Itô']",8.3,30
The League,2009,"Comedy, Sport","['Jonathan Lajoie', 'Nick Kroll', 'Stephen Rannazzisi']",8.3,22
The Corner,2000,"Crime, Drama","['Khandi Alexander', 'Sean Nelson', 'Clarke Peters']",8.2,376
Star Trek: Deep Space Nine,1993,"Action, Adventure, Drama","['Rene Auberjonois', 'Cirroc Lofton', 'Alexander Siddig']",8.6,45
Fringe,2008,"Drama, Mystery, Sci-Fi","['Joshua Jackson', 'John Noble', 'Jasika Nicole']",8.2,46
Daredevil,2015,"Action, Crime, Drama","[""Vincent D'Onofrio"", 'Deborah Ann Woll', 'Elden Henson']",8.6,54
In Treatment,2008,Drama,"['Dianne Wiest', 'Michelle Forbes', 'Blair Underwood']",7.9,25
The Get Down,2016,"Drama, Music, Musical","['Shameik Moore', 'Herizen F. Guardiola', 'Skylan Brooks']",8.2,52
Misfits,2009,"Comedy, Drama, Fantasy","['Joseph Gilgun', 'Iwan Rheon', 'Lauren Socha']",7.9,60
The Newsroom,2012,Drama,"['Emily Mortimer', 'John Gallagher Jr.', 'Alison Pill']",7.3,55
Black Sails,2014,"Adventure, Drama","['Toby Stephens', 'Hannah New', 'Zach McGowan']",7.6,56
The X Files,1993,"Crime, Drama, Mystery","['Gillian Anderson', 'Mitch Pileggi', 'William B. Davis']",8.2,45
V,1983,"Action, Adventure, Sci-Fi","['Michael Durrell', 'Faye Grant', 'Peter Nelson']",7.7,197
Power,2014,"Crime, Drama","['Lela Loren', 'Naturi Naughton', 'Joseph Sikora']",8.1,50
Roots,2016,"Biography, Drama, History","['Jonathan Rhys Meyers', 'Malachi Kirby', 'Forest Whitaker']",7.6,90
Magic City,2012,"Crime, Drama","['Olga Kurylenko', 'Steven Strait', 'Jessica Marais']",7.8,50
11.22.63,2016,"Drama, Mystery, Sci-Fi","['Sarah Gadon', 'George MacKay', 'Chris Cooper']",8.5,60
Man Seeking Woman,2015,"Comedy, Fantasy, Romance","['Eric André', 'Britt Lower', 'Robin Duke']",8.4,21
How to Get Away with Murder,2014,"Crime, Drama, Mystery","['Billy Brown', 'Jack Falahee', 'Aja Naomi King']",7.7,43
The Magicians,2015,"Drama, Fantasy, Mystery","['Hale Appleman', 'Arjun Gupta', 'Summer Bishil']",8.8,60
John Adams,2008,"Biography, Drama, History","['Laura Linney', 'John Dossett', 'Stephen Dillane']",7.6,71
Underground,2016,"Adventure, Drama, History","['Aldis Hodge', 'Jessica De Gouw', 'Alano Miller']",8.6,43
Silicon Valley,2014,Comedy,"['T.J. Miller', 'Josh Brener', 'Martin Starr']",7.4,28
The Terror,2018,"Adventure, Drama, History","['Derek Mio', 'Tobias Menzies', 'Kiki Sukezane']",8.7,60
Taboo,2017,"Drama, Mystery, Thriller","['David Hayman', 'Jonathan Pryce', 'Oona Chaplin']",7.9,59
12 Monkeys,2015,"Adventure, Drama, Mystery","['Amanda Schull', 'Noah Bean', 'Barbara Sukowa']",8.6,42
The Man in the High Castle,2015,"Drama, Sci-Fi, Thriller","['Luke Kleintank', 'Rufus Sewell', 'Rupert Evans']",7.5,60
Luther,2010,"Crime, Drama, Mystery","['Dermot Crowley', 'Michael Smiley', 'Warren Brown']",8.5,60
Sliders,1995,"Adventure, Fantasy, Sci-Fi","['Sabrina Lloyd', 'John Rhys-Davies', 'Cleavant Derricks']",7.4,60
Sparks,1996,Comedy,"['Miguel A. Núñez Jr.', 'Terrence Howard', 'Kym Whitley']",7.1,30
Six Feet Under,2001,"Comedy, Drama","['Michael C. Hall', 'Frances Conroy', 'Lauren Ambrose']",8.7,55
Ballers,2015,"Comedy, Drama, Sport","['John David Washington', 'Donovan W. Carter', 'Troy Garity']",7.6,30
Herman's Head,1991,Comedy,"['Hank Azaria', 'Jane Sibbett', 'Yeardley Smith']",7.1,30
Too Old to Die Young,2019,"Crime, Drama, Thriller","['Augusto Aguilera', 'Nell Tiger Free', 'Cristina Rodlo']",7.4,55
Dexter,2006,"Crime, Drama, Mystery","['Jennifer Carpenter', 'David Zayas', 'James Remar']",8.6,53
Legion,2017,"Action, Drama, Sci-Fi","['Rachel Keller', 'Aubrey Plaza', 'Bill Irwin']",8.3,60
Carnivàle,2003,"Drama, Fantasy, Mystery","['Adrienne Barbeau', 'Clancy Brown', 'Debra Christofferson']",8.4,55
Queen Sugar,2016,Drama,"['Dawn-Lyen Gardner', 'Kofi Siriboe', 'Omar J. Dorsey']",7.7,60
House of Cards,2013,Drama,"['Michel Gill', 'Robin Wright', 'Kate Mara']",8.8,51
South Central,1994,Comedy,"['Larenz Tate', 'Tasha Scott', 'Keith Mbulo']",7.6,30
Being Mary Jane,2013,"Drama, Romance, Thriller","['Lisa Vidal', 'Raven Goodwin', 'Margaret Avery']",7.5,60
Highlander,1992,"Action, Adventure, Fantasy","['Stan Kirsch', 'Jim Byrnes', 'Peter Wingfield']",7.2,60
Empire,2015,"Drama, Music","['Taraji P. Henson', 'Jussie Smollett', 'Bryshere Y. Gray']",7.4,42
ER,1994,"Drama, Romance","['George Clooney', 'Julianna Margulies', 'Eriq La Salle']",7.7,44
The Streets of San Francisco,1972,"Action, Crime, Drama","['Michael Douglas', 'Reuben Collins', 'Richard Hatch']",7.3,60
La piovra,1984,"Crime, Drama, Romance","['Barbara De Rossi', 'Patricia Millardet', 'Nicole Jamet']",8.7,402
McMafia,2018,"Crime, Drama, Thriller","['Merab Ninidze', 'Kirill Pirogov', 'Igor Pokrajac']",7.7,60
Utopia,2013,"Drama, Mystery, Sci-Fi","['Paul Higgins', 'Neil Maskell', ""Fiona O'Shaughnessy""]",8.4,50
Stalker,2014,"Crime, Drama, Thriller","['Maggie Q', 'Victor Rasuk', 'Mariana Klaveno']",7.5,60
The Untouchables,1959,"Action, Crime, Drama","['Walter Winchell', 'Nicholas Georgiade', 'Paul Picerni']",7.2,50
Room 222,1969,"Comedy, Drama, Family","['Denise Nicholas', 'Michael Constantine', 'Karen Valentine']",7.6,30
