id,title,year,genre,stars,rating,duration,img_src
323,Car Share,2015,Comedy,"['Sian Gibson', 'Danny Swarsbrick', 'Guy Garvey']",7.8,30,"""https://m.media-amazon.com/images/M/MV5BNWQ4ZTM1MmYtYjQ4Yy00NjVhLTkwODYtN2EwNzA4MTlkYzI3XkEyXkFqcGdeQXVyNjg0NTcxMTg@.jpg"""
324,Galavant,2015,"Adventure, Comedy, Fantasy","['Timothy Omundson', 'Vinnie Jones', 'Mallory Jansen']",7.8,26,"""https://m.media-amazon.com/images/M/MV5BMjEwNDcyMDk4OF5BMl5BanBnXkFtZTgwNDkyMjM5MzE@.jpg"""
325,W1A,2014,Comedy,"['Monica Dolan', 'Jessica Hynes', 'Sarah Parish']",7.4,22,"""https://m.media-amazon.com/images/M/MV5BZjYzNTllMTgtZTgyYy00OGIyLTk4ZmItMTJhYTQzZmNlNTA2XkEyXkFqcGdeQXVyNjg0NTcxMTg@.jpg"""
326,Au service de la France,2015,Comedy,"['Wilfred Benaïche', 'Christophe Kourotchkine', 'Karim Barras']",7.8,29,"""https://m.media-amazon.com/images/M/MV5BMDkyZWIxYjEtMDUxYy00MGJlLTlkNmYtNzM4MGM1NWY0ZWUyXkEyXkFqcGdeQXVyMjY0NzE3NzQ@.jpg"""
328,Hello Ladies,2013,Comedy,"['Christine Woods', 'Nate Torrence', 'Kevin Weisman']",8.4,30,"""https://m.media-amazon.com/images/M/MV5BNjYxMjI3MzY3NF5BMl5BanBnXkFtZTgwMTgyNzg3MDE@.jpg"""
329,Ghosts,2019,"Comedy, Fantasy","['Jim Howick', 'Charlotte Ritchie', 'Kiell Smith-Bynoe']",8.8,30,"""https://m.media-amazon.com/images/M/MV5BYWMyZmRlMjEtMzIxNS00M2RiLWJjZjEtYzI2NDE0NGVhOGRiXkEyXkFqcGdeQXVyNjExMTQ4MjA@.jpg"""
330,The Mick,2017,Comedy,"[""Sofia Black-D'Elia"", 'Thomas Barbusca', 'Carla Jimenez']",8.9,47,"""https://m.media-amazon.com/images/M/MV5BMTkzMzAxNDU4MF5BMl5BanBnXkFtZTgwODY0MTQyMzI@.jpg"""
331,The Larry Sanders Show,1992,Comedy,"['Jeffrey Tambor', 'Wallace Langham', 'Rip Torn']",8.7,467,"""https://m.media-amazon.com/images/M/MV5BMTMzMjc2Mzk5OF5BMl5BanBnXkFtZTYwMDAwMjY2.jpg"""
332,One Strange Rock,2018,Documentary,"['Chris Hadfield', 'Jerry Linenger', 'Mae C. Jemison']",8.2,279,"""https://m.media-amazon.com/images/M/MV5BMzBlYjhmYTMtNzY1ZS00ZGU2LWFmMzktYTg5ZGU1N2JlMGRmXkEyXkFqcGdeQXVyMTg3MDg4NzM@.jpg"""
333,O.J.: Made in America,2016,"Documentary, Biography, Crime","['Kareem Abdul-Jabbar', 'Mike Albanese', 'Muhammad Ali', 'Marcus Allen']",8.1,403,"""https://m.media-amazon.com/images/M/MV5BNGNmYmY3OTktMWM1Ni00NTU1LTk0ZjctMDcwYjViMjY0MTIwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg"""
334,The Jinx: The Life and Deaths of Robert Durst,2015,"Documentary, Crime","['Andrew Jarecki', 'Gary Napoli', 'Debra Kay Anderson']",7.9,60,"""https://m.media-amazon.com/images/M/MV5BMjI0OTc3MzY5Ml5BMl5BanBnXkFtZTgwNjk3MDUyNDE@.jpg"""
335,Wild Wild Country,2018,"Documentary, Crime","['Osho', 'Philip Toelkes', 'Jane Stork']",7.4,629,"""https://m.media-amazon.com/images/M/MV5BMzczOTU4NzkxMl5BMl5BanBnXkFtZTgwNTAxNTI5NDM@.jpg"""
336,Dirty Money,2018,"Documentary, Crime","['Alex Gibney', 'Anabel Hernández', 'Fahmi Quadir']",8.1,202,"""https://m.media-amazon.com/images/M/MV5BNTZjOTI2N2MtYjU0OC00YzFlLWIxNzQtYzY3MjgyOTU0MDJhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg"""
337,Soupçons,2004,"Documentary, Crime, Drama","['David Rudolf', 'Ron Guerette', 'Tom Maher']",8.2,187,"""https://m.media-amazon.com/images/M/MV5BNTU4NTE3MDY4NF5BMl5BanBnXkFtZTgwODk4NjY1NTM@.jpg"""
338,The Booth at the End,2011,"Drama, Mystery","['Jennifer Del Rosario', 'Jenni Blong', 'Michelle Dunker']",8.4,30,"""https://m.media-amazon.com/images/M/MV5BMjE1NTY1MDcxOV5BMl5BanBnXkFtZTcwMDUyOTcxOA@@.jpg"""
339,In Treatment,2008,Drama,"['Dianne Wiest', 'Michelle Forbes', 'Blair Underwood']",8.3,25,"""https://m.media-amazon.com/images/M/MV5BNjM4NzMzMDI1NF5BMl5BanBnXkFtZTcwOTE2MTMwNA@@.jpg"""
340,Rectify,2013,Drama,"['Abigail Spencer', 'J. Smith-Cameron', 'Adelaide Clemens']",8.3,60,"""https://m.media-amazon.com/images/M/MV5BOTA3NTE3MjQxNl5BMl5BanBnXkFtZTgwMzk3Mjc3OTE@.jpg"""
341,Happy Valley,2014,"Crime, Drama","['Siobhan Finneran', 'Shane Zaza', 'Charlie Murphy']",8.4,58,"""https://m.media-amazon.com/images/M/MV5BNTBmYTQ5ZDYtM2NjMC00M2Q2LTg4NDAtODUxZTk0ZmFjMGVjXkEyXkFqcGdeQXVyNzQ5MzY0NjM@.jpg"""
343,Being Human,2008,"Comedy, Drama, Fantasy","['Russell Tovey', 'Aidan Turner', 'Sinead Keenan']",7.8,60,"""https://m.media-amazon.com/images/M/MV5BMTc0NjEzMTAyM15BMl5BanBnXkFtZTcwMTQ3NTM0Mw@@.jpg"""
344,Misfits,2009,"Comedy, Drama, Fantasy","['Joseph Gilgun', 'Iwan Rheon', 'Lauren Socha']",8.2,60,"""https://m.media-amazon.com/images/M/MV5BNzRiNDcyZjItNzc1ZC00OTk3LWI3ZTItNDc0NTgxNjg3ZTZhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM4NjgwODc@.jpg"""
345,Terriers,2010,"Comedy, Crime, Drama","['Michael Raymond-James', 'Laura Allen', 'Kimberly Quinn']",8.4,45,"""https://m.media-amazon.com/images/M/MV5BNzg0NDQ0MTcwM15BMl5BanBnXkFtZTcwNTQwNDk3Mw@@.jpg"""
346,Justified,2010,"Action, Crime, Drama","['Nick Searcy', 'Joelle Carter', 'Jacob Pitts']",8.6,44,"""https://m.media-amazon.com/images/M/MV5BMTgzNjQ4NjM1NF5BMl5BanBnXkFtZTcwNzQ4OTEzNw@@.jpg"""
347,Longmire,2012,"Action, Crime, Drama","['Katee Sackhoff', 'Lou Diamond Phillips', 'Cassidy Freeman']",8.3,60,"""https://m.media-amazon.com/images/M/MV5BMTcxMzIwNzI3M15BMl5BanBnXkFtZTgwODgxMTU5OTE@.jpg"""
348,Burn Notice,2007,"Action, Crime, Drama","['Gabrielle Anwar', 'Bruce Campbell', 'Sharon Gless']",7.9,44,"""https://m.media-amazon.com/images/M/MV5BMTczMzg4NjU1Ml5BMl5BanBnXkFtZTcwODc4NzY5Nw@@.jpg"""
349,Banshee,2013,"Action, Crime, Drama","['Ivana Milicevic', 'Ulrich Thomsen', 'Frankie Faison']",8.4,60,"""https://m.media-amazon.com/images/M/MV5BMTkzNTA1MDI5M15BMl5BanBnXkFtZTcwNTY3NjAwOQ@@.jpg"""
350,The Knick,2014,"Drama, History","['André Holland', 'Jeremy Bobb', 'Juliet Rylance']",8.5,58,"""https://m.media-amazon.com/images/M/MV5BMTQ5NzcyNDc5MV5BMl5BanBnXkFtZTgwMDMyOTY5NjE@.jpg"""
351,Southland,2009,"Crime, Drama, Thriller","['Shawn Hatosy', 'Regina King', 'Ben McKenzie']",8.4,42,"""https://m.media-amazon.com/images/M/MV5BMjAwNzQ4MTMyMF5BMl5BanBnXkFtZTcwMDk3NTYyNw@@.jpg"""
